"","Study","Group","N","Age","Authors","Year","SRT","sequence"
"1","Clark & Lum (2017b)","DLD",25,9.81,"Clark & Lum ","2017b","deterministic","FOC"
"2","Clark & Lum (2017b)","TD",27,9.7,"Clark & Lum ","2017b","deterministic","FOC"
"3","Clark and Lum (2017a)","DLD",20,8.92,"Clark and Lum ","2017a","deterministic","FOC"
"4","Clark and Lum (2017a)","TD",20,9.09,"Clark and Lum ","2017a","deterministic","FOC"
"5","Deroost et al. (2010)","DD",28,13.5,"Deroost et al. ","2010","deterministic","FOC"
"6","Desmottes et al. (2016a)","DLD",18,10.24,"Desmottes et al. ","2016a","deterministic","FOC"
"7","Desmottes et al. (2016a)","TD",17,10.12,"Desmottes et al. ","2016a","deterministic","FOC"
"8","Desmottes et al. (2016b)","DLD",21,10.2,"Desmottes et al. ","2016b","deterministic","FOC"
"9","Desmottes et al. (2016b)","TD",21,10.54,"Desmottes et al. ","2016b","deterministic","FOC"
"10","Desmottes et al. (2017)","DLD",15,10.39,"Desmottes et al. ","2017","deterministic","FOC"
"11","Desmottes et al. (2017)","TD",15,10.41,"Desmottes et al. ","2017","deterministic","FOC"
"12","Earle & Ullman (2021)","DLD",21,20.52,"Earle & Ullman ","2021","deterministic",""
"13","Earle & Ullman (2021)","TD",79,20.49,"Earle & Ullman ","2021","deterministic",""
"14","Gabay et al.(2012)","DD",12,23.58,"Gabay et al.","2012","deterministic","SOC"
"15","Gabay et al.(2012)","TD",12,24.83,"Gabay et al.","2012","deterministic","SOC"
"16","Gabriel et al. (2011)","DLD",15,10.17,"Gabriel et al. ","2011","probabilistic","SOC"
"17","Gabriel et al. (2011)","TD",15,10.25,"Gabriel et al. ","2011","probabilistic","SOC"
"18","Gabriel et al. (2012)","DLD",15,10.25,"Gabriel et al. ","2012","deterministic","FOC"
"19","Gabriel et al. (2012)","TD",15,10.42,"Gabriel et al. ","2012","deterministic","FOC"
"20","Gabriel et al. (2013)","DLD",23,9.67,"Gabriel et al. ","2013","deterministic","SOC"
"21","Gabriel et al. (2013)","TD",23,9.58,"Gabriel et al. ","2013","deterministic","SOC"
"22","Gabriel et al. (2015)","DLD",16,9.92,"Gabriel et al. ","2015","deterministic","FOC"
"23","Gabriel et al. (2015)","TD",16,9.83,"Gabriel et al. ","2015","deterministic","FOC"
"24","Hedenius et al. (2013)","DD",12,11,"Hedenius et al. ","2013","alternating","SOC"
"25","Hedenius et al. (2013)","TD",17,11.1,"Hedenius et al. ","2013","alternating","SOC"
